fen,cp
r1bq1rk1/p4ppp/2pb1n2/3p2B1/8/2NB1Q2/PPP2PPP/R3R1K1 b - -,0.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,17.0
r3k2r/pBpp1ppp/1p6/2b1Pq2/8/1QPp1P2/PP1P3P/RNBR3K b kq -,401.0
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,25.0
rk6/3QPp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/6K1 w - -,747.0
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,0.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,16.0
r1b1k1nr/ppqpppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,78.0
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,64.0
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,20.0
r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,42.0
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,37.0
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,9.0
rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,31.0
1r2k2r/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b k -,-332.0
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,-35.0
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - -,40.0
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,74.0
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/5N1P/PP1P1PP1/RNBQKB1R w KQkq -,-66.0
rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,67.0
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,88.0
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R b KQkq -,-48.0
r1bqk1nr/ppp2pp1/1bnp3p/4p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R w KQkq -,50.0
r3Q3/2k2p1p/p1n2p2/P1b5/2p5/2P3P1/5P1P/6K1 w - -,779.0
6k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P5PP/6K1 w - -,0.0
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,19.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,20.0
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,58.0
