fen,cp
rnb1kb1r/pp2pppp/2p5/3qP1N1/4p3/8/PPPP1PPP/R1BQKB1R w KQkq -,19.0
8/2n5/3k4/5Q2/2K5/8/8/8 w - -,12.0
r1bqk1nr/pppp1ppp/8/2b1N3/4P3/8/PPPP2PP/RNBQKB1R b KQkq -,0.0
rn1qk2r/ppp1bppp/4p3/3n4/3P2b1/5N2/PPP1BPPP/RNBQ1RK1 w kq -,87.0
1r2r1k1/p1p1qppp/3b1n2/1Q1p4/P2P4/2P5/1P2BPPP/R1B1KN1R b KQ -,-752.0
rn1qkb1r/pbpppppp/1p3n2/3P4/2P5/4P3/PP3PPP/RNBQKBNR b KQkq -,-55.0
8/2nk4/8/2Q5/2K5/8/8/8 w - -,11.0
r1b1k1nr/pppp1ppp/8/2b1N3/4P2q/8/PPPP2PP/RNBQKB1R w KQkq -,0.0
r1bqkb1r/pppp1ppp/5n2/4p3/2BnP3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,0.0
rn1qk2r/ppp2ppp/3P4/5b2/1bP1n3/2N5/PPQ1PPPP/R1B1KBNR w KQkq -,33.0
8/2nk4/8/2Q5/3K4/8/8/8 b - -,0.0
rnbqk2r/pp3ppp/5n2/2pp2B1/1b1P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,40.0
r1bqkbnr/ppppnppp/8/3Pp3/4PP2/8/PPP3PP/RNBQKBNR b KQkq -,-31.0
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq -,40.0
r1b1k1nr/pppp1ppp/8/2b1N3/4P2q/6P1/PPPP3P/RNBQKB1R b KQkq -,0.0
r1b1k1nr/pppp1ppp/8/2b1N3/4q3/6P1/PPPP3P/RNBQKB1R w KQkq -,0.0
rnbqk2r/pp2bppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,37.0
rnbqk2r/pp3ppp/5n2/2Pp2B1/1b6/2N2N2/PP2PPPP/R2QKB1R b KQkq -,50.0
rnbqkbnr/pppppppp/8/8/3P1B2/2PBPN2/PPQN1PPP/R3K2R w KQkq -,523.0
3B4/p7/8/1p1k4/8/PPK3p1/8/8 w - -,5917.0
rnbqkb1r/pp2pppp/2p5/4P1N1/4p3/8/PPPP1PPP/R1BQKB1R b KQkq -,28.0
r1b1k1nr/pppp1ppp/8/2b1N3/4q3/6P1/PPPPQ2P/RNB1KB1R b KQkq -,0.0
rnbq1rk1/pp2bppp/5n2/2Pp2B1/8/2N2N2/PP2PPPP/R2QKB1R w KQ -,77.0
r1bqk2r/p4ppp/2p2n2/n1b1p1N1/8/3B4/PPPP1PPP/RNBQK2R w KQkq -,74.0
8/2n1k3/8/8/2KQ4/8/8/8 w - -,12.0
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq -,31.0
r1bqk2r/ppp2ppp/2np1n2/2b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,0.0
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,23.0
rnb1kb1r/pp2pppp/2p5/3qP1N1/4p3/8/PPPPQPPP/R1B1KB1R b KQkq -,25.0
rnbqkbnr/ppp2ppp/8/1N6/3p4/5N2/PPPP1PPP/R1BQKB1R b KQkq -,-75.0
r1bqkbnr/pppp1p1p/2n3p1/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,62.0
r1bq1rk1/p4ppp/2p2n2/n1b1p1N1/8/3B4/PPPP1PPP/RNBQ1RK1 w - -,69.0
r2qkb1r/pp2pppp/2n2n2/2pp1b2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,0.0
8/4k3/4n3/8/3Q4/3K4/8/8 w - -,13.0
rnbqk2r/ppp2ppp/4pn2/8/1bBP4/2N1PN2/PP3PPP/R1BQK2R b KQkq -,58.0
8/2n1k3/8/8/3Q4/3K4/8/8 b - -,13.0
rnbq1rk1/ppp2ppp/4pn2/8/1bBP4/P1N1PN2/1P3PPP/R1BQK2R b KQ -,60.0
r1bqk2r/ppppnpbp/2n3p1/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,60.0
rn1qkbnr/1b1p1ppp/p3p3/1p6/3NP3/2NBB3/PPP2PPP/R2QK2R b KQkq -,-44.0
r3kb1r/pp2pppp/1qn2n2/2pp1b2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,0.0
r1bqkb1r/ppp2ppp/2n2n2/3pp1B1/3P4/2P2P2/PP2P1PP/RN1QKBNR w KQkq -,-67.0
r1bqk2r/pppnbppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,26.0
2r3k1/p1r1ppbp/3p1np1/1q5P/1p1BP3/1B3P2/PPPQ2P1/1K1R3R w - -,102.0
8/2nk4/8/4Q3/2K5/8/8/8 w - -,10.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,23.0
R7/8/8/7p/6n1/6k1/4K3/3r4 b - -,-16.0
r2qk2r/ppp2ppp/2np1n2/2bNp1B1/2B1P1b1/3P1N2/PPP2PPP/R2QK2R b KQkq -,75.0
8/3k4/4n3/2K1Q3/8/8/8/8 w - -,11.0
r1bq1rk1/p4ppp/2p2n2/n1b1p1N1/8/2NB4/PPPP1PPP/R1BQ1RK1 b - -,80.0
r1bqk2r/pppnbppp/4pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,9.0
r2qk2r/ppp2ppp/3p1n2/2bNp1B1/2BnP1b1/3P1N2/PPP2PPP/R2QK2R w KQkq -,60.0
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R w KQ -,21.0
8/p7/8/1p1k4/8/PPK5/5Bp1/8 b - -,6004.0
3n4/3k4/1K6/4Q3/8/8/8/8 w - -,12.0
r1bqk2r/pppp1ppp/2n2n2/2b1p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq -,-34.0
5rk1/p1r1ppbp/3p1n2/1q5p/1p1BP3/1B3P2/PPPQ2P1/1K1R3R w - -,418.0
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,7.0
r1bk1bnr/pppp1Bpp/8/4q3/3nP3/8/PPPP1PPP/RNBQ1RK1 w - -,-69.0
3nk3/2Q5/1K6/8/8/8/8/8 w - -,10.0
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b - -,17.0
5rk1/p1r1ppbp/3p1n2/1q5p/1p1BP1P1/1B3P2/PPPQ4/1K1R3R b - -,439.0
8/8/8/pp1k4/8/PPK5/5Bp1/8 w - -,9605.0
r2qkbnr/ppp2ppp/2np4/4p3/4P1b1/5NP1/PPPP1PBP/RNBQK2R w KQkq -,73.0
rnbqkbnr/pp2pppp/8/3P4/8/8/PP1P1PPP/RNBQKBNR b KQkq -,4.0
rnbqk1nr/ppppppbp/6p1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,15.0
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPPQPPP/RNB1K2R b KQkq -,0.0
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,50.0
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/B3P3/5N2/PPPPQPPP/RNB1K2R w KQkq -,0.0
rnbqkb1r/pp1p1ppp/3P1n2/2p5/8/8/PPP2PPP/RNBQKBNR b KQkq -,52.0
rnbqkb1r/pp2pppp/3p1n2/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,30.0
5rk1/p1r1ppbp/3p1n2/1q6/1p1BP1p1/1B3P2/PPPQ4/1K1R3R w - -,431.0
r2qkbnr/ppp2ppp/3p4/4p3/4P1b1/2P2nP1/PP1P1PBP/RNBQ1RK1 w kq -,28.0
rnbqkb1r/pp2pppp/5n2/3P4/8/8/PP1P1PPP/RNBQKBNR w KQkq -,0.0
r2qkb1r/ppp1pppp/2n2n2/3p1bB1/3P4/2P2P2/PP1NP1PP/R2QKBNR b KQkq -,-48.0
r1b1kb1r/1pqp1ppp/p1n1pn2/2p5/P1B1P3/2PP1N2/1P3PPP/RNBQK2R w KQkq -,13.0
8/8/8/pp1k4/1P6/P1K5/5Bp1/8 b - -,35.0
3nk3/K1Q5/8/8/8/8/8/8 b - -,17.0
5rk1/p1r1ppbp/3p1n2/1q6/1p1BP1P1/1B6/PPPQ4/1K1R3R b - -,388.0
rnbqk2r/ppp2ppp/4pn2/6B1/1bpPP3/2N2N2/PP3PPP/R2QKB1R b KQkq -,23.0
r1bq1rk1/2pp1ppp/p1nb1n2/1p2p3/4P3/1BP2N2/PP1PQPPP/RNB1K2R w KQ -,0.0
r1bqkb1r/pp1p1ppp/2n1pn2/8/3NP3/P1N5/1PP2PPP/R1BQKB1R b KQkq -,5.0
4k3/K1Q5/4n3/8/8/8/8/8 w - -,15.0
r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,45.0
8/8/8/pp6/1P2k3/P1K5/5Bp1/8 w - -,26.0
r1b1kb1r/1pp1pppp/p1nq1n2/8/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,41.0
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N2N2/PP1BPPPP/R2QKB1R b KQ -,9.0
r1bq1rk1/pp1nbppp/4pn2/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,33.0
r1bqk2r/ppp2ppp/1bnp1n2/4p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,17.0
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,73.0
rnb1kb1r/pp1p1ppp/1q1P1n2/2p5/8/8/PPP2PPP/RNBQKBNR w KQkq -,70.0
5rk1/p1r1ppbp/3p4/1q6/1p1Bn1P1/1B6/PPPQ4/1K1R3R w - -,867.0
rnbqk1nr/ppp1ppbp/6p1/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,17.0
rnbqkb1r/pppp1ppp/4pn2/8/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,12.0
rnbqkb1r/pp2pppp/5n2/3P4/Q7/8/PP1P1PPP/RNB1KBNR b KQkq -,-18.0
rnbqkb1r/pp3ppp/4pn2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,-15.0
r1bqk2r/pppp1ppp/2n1pn2/8/1bPPP3/2N2P2/PP4PP/R1BQKBNR b KQkq -,48.0
r1bqkb1r/pp1npppp/5n2/3P4/Q7/8/PP1P1PPP/RNB1KBNR w KQkq -,-5.0
2r1nrk1/p3q2p/1p2pppQ/nP1b2R1/8/P2B4/1BP2PPP/3R2K1 w - -,-617.0
r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/P3P3/1PP2PPP/RN1QKBNR b KQkq -,32.0
r1bqkb1r/pppp1ppp/2n4n/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,32.0
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/2b2N2/PP1BPPPP/R2QKB1R w KQ -,32.0
2r1kb2/pp3p2/4p1pr/3n4/3PNP2/P2q2B1/1n1N1QPP/4RRK1 w - -,359.0
r1bqk1nr/pppp1ppp/2n5/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,0.0
rnbq1rk1/pppp1ppp/4p3/8/2PPn3/2B2N2/PP2PPPP/R2QKB1R w KQ -,26.0
1k1r3r/1pp2pp1/p1p5/8/8/2Pp1Pp1/PP1N2P1/R1B1RKQq b - -,298.0
r1bqkb1r/pp1npppp/5n2/3P4/Q1B5/8/PP1P1PPP/RNB1K1NR b KQkq -,-34.0
rnbqkb1r/pp3ppp/5n2/3pp1B1/2PN4/2N5/PP2PPPP/R2QKB1R w KQkq -,0.0
rnbqkb1r/pppp1ppp/8/4p3/2B1nP2/8/PPPP2PP/RNBQK1NR w KQkq -,-92.0
1k1r3r/1pp2pp1/p1p5/2Q5/8/2Pp1Pp1/PP1N2P1/R1B1RK1q w - -,286.0
rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,59.0
1k1r3r/2p2pp1/ppp5/8/7q/2Pp1Pp1/PP1N2P1/R1B1RKQ1 b - -,-39.0
r1b1kb1r/1pp1pppp/p1nq1n2/8/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,63.0
5rk1/p1r1ppbp/3p4/1q6/1p1Bn1P1/1B6/PPP4Q/1K1R3R b - -,873.0
r1bqkbnr/pp2pppp/2n5/1B1p4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq -,0.0
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,56.0
rnbqkb1r/p1p2ppp/1n2p3/1N2P3/2pP4/5N2/PP2BPPP/R1BQK2R b KQkq -,39.0
r1k4r/ppp1b2p/2n5/2N2QB1/3p4/8/PPP2PPP/R5K1 b - -,4.0
8/8/1B6/pp6/1P2k3/P1K5/6p1/8 b - -,26.0
r1b1k2r/ppp2ppp/2pq1n2/2b1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,48.0
rnbqkbnr/pppp1pp1/4p2p/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -,22.0
rnbqkb1r/pp3ppp/5n2/4p1B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,-31.0
rnbqkb1r/p3pppp/5n2/1NpP4/2p1P3/8/PP3PPP/R1BQKBNR b KQkq -,-16.0
r1bqkbnr/pp3ppp/2n1p3/1B1p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq -,33.0
rn1qkb1r/1pp1pppp/p4n2/3p4/3P1B2/3bPN2/PPP2PPP/RN1QK2R w KQkq -,21.0
1k1r3r/1pp2pp1/p1p5/8/8/2Pp1Pp1/PP1N2Pq/R1B1RKQ1 b - -,0.0
rn1qkb1r/1pp1pppp/p4n2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,66.0
rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq -,75.0
1k1r3r/1pp2pp1/p1p5/2Q5/8/2Pp1Pp1/PP1N2Pq/R1B1RK2 w - -,81.0
rnbqkb1r/pppp1ppp/5n2/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq -,-92.0
5r2/p1r1ppkp/3p4/1q1R2n1/1p4P1/1B6/PPP4Q/1K5R b - -,11.0
rnbqkb1r/1pp2pp1/p2ppn1p/8/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQkq -,17.0
r2qkbnr/ppp2ppp/2n1p3/3p1b2/3P1B2/P3P3/1PP2PPP/RN1QKBNR w KQkq -,44.0
rnb1k1nr/ppppqppp/3b4/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,36.0
8/8/3k4/R7/8/4K3/8/7R b - -,4.0
rnbqkbnr/pp2pppp/2p5/3p4/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -,9.0
rnbqk1nr/pp2ppbp/2p3p1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,59.0
rnbqk2r/pp2ppbp/2pp1np1/8/3PPB2/2N5/PPPQ1PPP/R3KBNR w KQkq -,64.0
8/8/4n2Q/4k3/8/3K4/8/8 w - -,14.0
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2P5/PP2NPPP/R1BQKBNR w KQkq -,0.0
r3kb1r/1pp1pppp/p1nq1n2/8/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,57.0
rnbqkbnr/1ppppppp/8/8/8/2N1P3/PBPP1PPP/R2QKBNR b KQk -,-13.0
r1bqkbnr/pp3ppp/2n1p3/1B1p4/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq -,19.0
r2qkbnr/ppp2ppp/2n1p3/3p1b2/2PP1B2/P3P3/1P3PPP/RN1QKBNR b KQkq -,34.0
4R1k1/pb1r1pp1/1pn2q1p/3B4/8/P4NP1/1P3PP1/3R2K1 b - -,1201.0
rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -,0.0
rnbqkb1r/pppp1ppp/8/8/2B1np2/5N2/PPPP2PP/RNBQK2R w KQkq -,-95.0
rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq -,0.0
8/8/8/1K6/2Q5/3nk3/8/8 w - -,16.0
rnbqkb1r/pppp1ppp/5n2/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,57.0
rn1qkb1r/1pp2ppp/p3pn2/3p4/3P1B2/3PPN2/PP3PPP/RN1QK2R w KQkq -,24.0
rnbqkb1r/pppppppp/5n2/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq -,-69.0
8/8/4n2Q/4k3/8/5K2/8/8 w - -,16.0
5r2/p3ppkp/3p4/1qrR2n1/1p4P1/1B6/PPP4Q/1K5R w - -,3.0
rnbqkbnr/pp2pppp/2p5/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,0.0
rn1qkbnr/pbpppppp/1p6/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,50.0
rnbqkbnr/p1pppppp/1p6/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq -,11.0
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,71.0
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq -,0.0
r1bqk1nr/pppp1pbp/2n3p1/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,17.0
8/8/7Q/2n1k3/8/5K2/8/8 b - -,4526.0
rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,-29.0
rnbqkb1r/pppppppp/5n2/8/8/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,-91.0
r1bqkbnr/3p1ppp/p1p5/4p2Q/2B1P3/8/PPP2PPP/RNB1K2R b KQkq -,73.0
r1bqk1nr/pp3ppp/2nbp3/1B1p4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,52.0
8/8/4k3/8/3K4/2QB4/8/8 w - -,5.0
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2NPPP/R1BQKB1R b KQkq -,0.0
r2qk1nr/pp3ppp/2nbp3/3p3b/3P4/2N2N1P/PPP1BPP1/R1BQ1RK1 w kq -,-42.0
8/8/5k2/2Q5/3K4/3B4/8/8 w - -,4.0
rnbqk2r/pp2ppbp/3p1np1/2p3B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,100.0
r2qk2r/ppp2ppp/2p2n2/2b1p3/4P1b1/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,40.0
4R3/pb1r1ppk/1pn2q1p/8/4B3/P4NP1/1P3PP1/3R2K1 b - -,1494.0
8/8/8/1K6/4k3/2Qn4/8/8 w - -,0.0
rnbqkbnr/ppp1pppp/8/8/2Pp4/5N2/PP1PPPPP/RNBQKB1R w KQkq -,0.0
rnbqkb1r/p3pppp/2p2n2/1p6/2p5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,44.0
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq -,-43.0
rn1qkbnr/pbpppppp/1p6/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -,26.0
8/8/8/8/2K1k3/2Qn4/8/8 b - -,16.0
r3k3/ppp2pp1/8/2bpq2P/8/1BNp1Q2/PPPP2P1/R1B4K b q -,659.0
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P4/2P2NP1/PP2NP1P/R1BQKB1R b KQkq -,-5.0
rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -,18.0
r1bqkbnr/ppp1pppp/2n5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq -,43.0
8/8/8/4n3/2K1k3/2Q5/8/8 w - -,16.0
r3k3/ppp2pp1/3b4/3pq2P/8/1BNpQ3/PPPP2P1/R1B4K b q -,829.0
8/8/1B6/pp1k4/1P6/P1K5/6p1/8 w - -,26.0
rnb1kb1r/ppp1qppp/3p4/8/4n3/2N2N2/PPPPQPPP/R1B1KB1R b KQkq -,0.0
r1bqk2r/pp1p1ppp/2n5/4N3/4n3/2B5/PPP2PPP/R2QKB1R b KQkq -,-77.0
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,98.0
8/8/1B6/pp1k4/1P6/P2K4/6p1/8 b - -,25.0
8/8/8/2K5/4k3/2Qn4/8/8 w - -,14.0
rnbqkbnr/ppp1pppp/8/8/2Pp4/4PN2/PP1P1PPP/RNBQKB1R b KQkq -,0.0
4R3/pb1R1pk1/1pn2qpp/8/4B3/P4NP1/1P3PP1/6K1 w - -,1181.0
r1bqkb1r/pppp1ppp/2n2n2/6N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq -,-71.0
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq -,86.0
rn1qkbnr/pp2pppp/2p5/3pPb2/3P1P2/8/PPP3PP/RNBQKBNR b KQkq -,-9.0
rnb1kb1r/ppp2ppp/4pq2/8/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,118.0
8/8/2k5/pp6/1P6/P2K4/6p1/6B1 b - -,24.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -,16.0
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P4/2P2N2/PP2NPPP/R1BQKB1R w KQkq -,0.0
rnb1k1nr/ppp1qppp/3p4/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,85.0
rnbqkbnr/1p1p1ppp/p7/4p3/4P3/1N6/PPP2PPP/RNBQKB1R b KQkq -,44.0
r4r1k/1bp4p/p3PpNB/1pb2P1Q/8/1P2p1PK/P6P/q7 b - -,7.0
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/5P2/PPP1P1PP/RN1QKBNR w KQkq -,-20.0
r1bqk2r/pp3ppp/2nbpn2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,0.0
rnbqkb1r/pp3pp1/2p1pn1p/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,13.0
rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,53.0
rnbqk1nr/pp2ppbp/6p1/3pP3/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,74.0
r1bqkb1r/pp3ppp/n1p1pn2/1N1p4/3P1B2/4P3/PPP2PPP/R2QKBNR w KQkq -,0.0
r1b2rk1/pp1nbppp/2n1p3/q1ppP3/3P1N2/P1P2N2/1P3PPP/R1BQKB1R w KQ -,0.0
2k5/8/5Q2/8/8/3NK3/8/8 w - -,4.0
r1bqk2r/pp1p1ppp/2N5/8/8/2n5/PPP2PPP/R2QKB1R b KQkq -,-84.0
rnb1k1nr/ppp1qppp/3p4/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,171.0
8/Q7/3k4/1n6/3K4/8/8/8 w - -,0.0
r1bqkbnr/ppppnppp/8/3Pp3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,94.0
rnbqkbnr/pp2pppp/8/2p5/2Pp4/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,0.0
3qrk1R/p4rp1/1p2pb2/nP1bN3/3PN3/P7/5PPP/R5K1 b - -,-1193.0
8/Q1n5/3k4/8/1K6/8/8/8 b - -,16.0
rnb1k1nr/ppp1qppp/3p4/2b5/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq -,175.0
8/Q7/3kn3/8/1K6/8/8/8 w - -,16.0
r2qk2r/ppp2ppp/2np1n2/2b1p1B1/2B1P1b1/2NP1N2/PPP2PPP/R2QK2R w KQkq -,73.0
8/8/2k5/Q7/8/4K3/8/8 w - -,6.0
r1bqk2r/pppp1ppp/2n5/2b1P3/2BP2n1/5N2/PP3PPP/RNBQK2R b KQkq -,89.0
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2PP4/PP3PPP/RNBQKB1R b KQkq -,87.0
r1bqk2r/ppp2ppp/2p5/2b5/4n3/2PP4/PP3PPP/RNBQKB1R w KQkq -,56.0
rn1qk1nr/pp2ppbp/6p1/3pP3/3P2b1/5N2/PP3PPP/RNBQKB1R w KQkq -,98.0
rnb1kb1r/ppppqppp/5n2/4P3/5p2/5N2/PPPP2PP/RNBQKB1R w KQkq -,142.0
r2q1rk1/pp1nbpp1/2p1pn1p/7P/3P4/5NN1/PPPBQPP1/2KR3R w - -,0.0
1k6/8/Q7/3K4/8/8/8/8 w - -,4.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,8.0
rnbqk2r/pp1pppbp/2p2np1/8/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq -,52.0
rnbqkbnr/pp2pppp/8/2p5/1PPp4/4PN2/P2P1PPP/RNBQKB1R b KQkq -,0.0
r2qkbnr/pp1bpppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,35.0
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2P5/PP2N1PP/R1BQKBNR b KQkq -,0.0
r2qkbnr/pp1bpppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,48.0
r2qkbnr/pp2pppp/2n5/3p1b2/3P1B2/4P3/PP3PPP/RN1QKBNR w KQkq -,40.0
rnbqkb1r/pppp1ppp/8/4P2n/5p2/5N2/PPPP2PP/RNBQKB1R w KQkq -,-68.0
rnbqkb1r/pp1p1ppp/4p3/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,24.0
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2P5/PP2N1PP/R1BQKBNR w KQkq -,0.0
8/8/8/2K1Q3/8/3n1k2/8/8 w - -,0.0
1k2r3/1pp2pp1/p1p5/8/3Q4/2Pp1Pp1/PP1N2Pq/R1B2K2 w - -,0.0
8/8/8/2K1Q3/5n2/5k2/8/8 b - -,0.0
r1bqkb1r/pp1p1ppp/2n1pn2/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,51.0
5rk1/p3pp1p/3p3Q/1qrR2n1/1p4P1/1B6/PPP5/1K5R w - -,2.0
r1b1kb1r/pp1n2pp/1qn1pp2/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQkq -,35.0
rnbqk1nr/pp1ppp1p/2p3p1/8/2P5/2b3P1/PP1PPPBP/R1BQK1NR w KQkq -,171.0
8/8/8/3k4/7R/4K3/8/8 w - -,12.0
